horizon_sessions,factor,factor_label,factor_type,target,version,mean_rank_ic,rank_ic_ir,positive_ic_rate,top_bottom_spread,period_count
5,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,风险因子,回撤风险,原始,0.16291763977195836,1.0159502613959155,0.844574780058651,0.01848449774515842,341
5,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,风险因子,回撤风险,中性化,0.1179755055231133,1.0657984766449642,0.8504398826979472,0.011101122746507711,341
5,risk_gap_extreme_down_60d,跳空与极端下跌风险,风险因子,回撤风险,原始,0.13485124522408906,0.7846694062722802,0.8152492668621701,0.016043211982587072,341
5,risk_gap_extreme_down_60d,跳空与极端下跌风险,风险因子,回撤风险,中性化,0.10152626536369108,0.8746805801714959,0.8152492668621701,0.0105773611500255,341
5,risk_crowding_quarter_change,拥挤度季度变化,风险因子,回撤风险,原始,0.08763228587091786,0.6036486329514531,0.7478005865102639,0.011093204544916115,341
5,risk_crowding_quarter_change,拥挤度季度变化,风险因子,回撤风险,中性化,0.07561427592691754,0.752610365728003,0.782991202346041,0.010483455539616503,341
5,risk_intraday_atr_20d,20日日内振幅/ATR,风险因子,回撤风险,原始,0.22422603733788343,1.0663806686715966,0.8592375366568915,0.026766678155953474,341
5,risk_intraday_atr_20d,20日日内振幅/ATR,风险因子,回撤风险,中性化,0.18280159244595934,1.2482899478719618,0.8768328445747801,0.022872898323256945,341
20,trend_5d,5日趋势,收益因子,收益,原始,-0.014667237730691035,-0.08812513882242859,0.5176470588235295,-0.0006680992603398201,85
20,trend_5d,5日趋势,收益因子,收益,中性化,-0.014326617340884423,-0.12952067991185878,0.4823529411764706,-0.0006425034791425954,85
20,trend_20d,20日趋势,收益因子,收益,原始,-0.05181335929096172,-0.29710390992647245,0.4,-0.010814062340236876,85
20,trend_20d,20日趋势,收益因子,收益,中性化,-0.02279318795379416,-0.18980705387302096,0.4588235294117647,-0.0031515713151858502,85
20,trend_60_ex_20,60日剔除近20日趋势,收益因子,收益,原始,-0.012259369384071015,-0.07777109964938689,0.5411764705882353,0.00019800728844811873,85
20,trend_60_ex_20,60日剔除近20日趋势,收益因子,收益,中性化,-0.0017537745349437378,-0.01576416903687885,0.5294117647058824,-0.004086499674987883,85
20,trend_120_ex_20,120日剔除近20日趋势,收益因子,收益,原始,-0.003790815524080118,-0.021841695624188365,0.5176470588235295,0.005169905025403336,85
20,trend_120_ex_20,120日剔除近20日趋势,收益因子,收益,中性化,0.011202038951562684,0.09444189623229232,0.5529411764705883,0.0056688654554335124,85
20,value_bp,账面市值比（BP）,收益因子,收益,原始,0.050923002916658036,0.23051030730252645,0.6,0.007466734699664169,85
