entry_date,rank_ic,top_decile_relative_return,bottom_decile_relative_return,top_bottom_spread,stock_count,market_regime,test_year,horizon_sessions,healthcare_benchmark,model
2025-10-24,-0.06917715134051498,-0.008821433839336527,0.013709464428338744,-0.02253089826767527,474,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-10-31,0.4187630850083438,0.021216816354448595,-0.024542070937119718,0.04575888729156831,474,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-11-07,0.19564591892931144,0.01016621774432126,-0.010541159168091013,0.020707376912412274,474,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-11-14,0.17379112579160788,-0.0021543888282335006,-0.019605130474998646,0.017450741646765147,474,风险偏好,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-11-21,0.04815755507970674,0.0033776500361634384,0.0073053840955429146,-0.003927734059379476,474,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-11-28,0.10054245881140698,-0.00017904834304105963,0.00467967991184767,-0.00485872825488873,475,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-12-05,-0.1773021906963985,-0.011505079028020932,-0.027441434853607716,0.015936355825586786,475,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-12-12,0.2449730503571542,0.013353227889397678,-0.026280117058584934,0.03963334494798261,474,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-12-19,-0.10402389231314495,-0.004075992397653505,0.010165806017894422,-0.014241798415547926,474,防御/修复,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2025-12-26,-0.14432245467330004,-0.00546531151390383,0.0374823898286977,-0.04294770134260153,476,大盘独涨,2025,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-01-06,-0.013024015424133714,-0.012603277439005174,0.028192483141258762,-0.040795760580263934,476,风险偏好,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-01-13,0.39979481397176647,0.021239185663735543,-0.04699753469580197,0.06823672035953751,476,风险偏好,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-01-20,0.1684597222373282,0.021830220062067234,-0.01535418690606206,0.037184406968129295,476,风险偏好,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-01-27,0.28842942967067453,0.02422898907299619,-0.013717528478547888,0.03794651755154407,476,风险偏好,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-02-03,0.11742620573990468,0.005353166497461692,-0.01647802535969878,0.021831191857160474,477,医疗独立行情,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-02-10,0.008052515148113656,2.8304931792966687e-05,-0.011292605473136525,0.011320910404929493,478,防御/修复,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-02-25,0.09584041776292372,-0.005095312954106273,-0.0013854135162526722,-0.0037098994378536015,478,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-03-04,0.06946246394904895,0.015388084250452327,0.012334230076783912,0.0030538541736684147,479,防御/修复,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-03-11,0.1824992134408061,-0.0002660839873103356,-0.016412652854984843,0.01614656886767451,478,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-03-18,-0.11017123229431179,-0.007030218345386437,-0.006373939226891334,-0.0006562791184951027,479,防御/修复,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-03-25,0.09353798386889929,0.011859833903490899,0.009948829837089826,0.001911004066401073,478,防御/修复,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-04-01,0.016057375489538624,-0.00500608826138835,0.012706150914758685,-0.017712239176147036,478,医疗独立行情,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-04-09,-0.04201450672774259,-0.0011399648368106304,-0.005891628483506497,0.004751663646695867,478,防御/修复,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-04-16,-0.13505399778511723,-0.012857449765723289,0.01973538065920525,-0.03259283042492854,479,风险偏好,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-04-23,0.15368582323938648,0.024901242259486287,-0.005458824883025654,0.03036006714251194,479,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-04-30,-0.06002175308463745,-0.01092778921221748,0.028086612467376832,-0.039014401679594315,479,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-05-12,-0.058881720425411614,-0.02202033375164743,0.033207898225690015,-0.05522823197733745,479,风险偏好,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-05-19,-0.21463682332212405,-0.022781547977868192,0.011949771317616162,-0.034731319295484356,479,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-05-26,0.026467117487596493,0.006331964333850981,-0.012053338946588275,0.018385303280439257,479,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-06-02,-0.0806572182462925,-0.0077429574744228595,0.018318024257376046,-0.026060981731798907,479,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-06-09,-0.10317826402204543,-0.016829172909575224,-0.009256922308734435,-0.0075722506008407894,479,防御/修复,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-06-16,0.19018598047674765,0.001551718834933882,-0.015750853059118105,0.017302571894051988,479,大盘独涨,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
2026-06-24,0.13121993476810317,0.03908231300704076,-0.03629796447438626,0.07538027748142702,479,防御/修复,2026,5,动态申万成分等权,4. 交互项+残差动量+Beta变化
