ts_code,entry_date,market_regime,predicted_relative_return,return_model_score,horizon_sessions,healthcare_benchmark,model
300436.SZ,2026-07-20,医疗独立行情,0.0023278057596174714,99.67741935483872,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300451.SZ,2026-07-20,医疗独立行情,0.0007325397696977031,78.70967741935485,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300463.SZ,2026-07-20,医疗独立行情,0.00044040552612402135,65.80645161290323,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300482.SZ,2026-07-20,医疗独立行情,0.0001614721005362492,53.2258064516129,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300497.SZ,2026-07-20,医疗独立行情,0.0013790480957266108,94.19354838709677,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300529.SZ,2026-07-20,医疗独立行情,-0.000575113965159409,21.935483870967744,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300558.SZ,2026-07-20,医疗独立行情,0.002092030670409015,99.03225806451613,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300573.SZ,2026-07-20,医疗独立行情,-0.0007180674066907415,18.70967741935484,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300595.SZ,2026-07-20,医疗独立行情,3.768784159541881e-05,46.774193548387096,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300601.SZ,2026-07-20,医疗独立行情,0.00048149651381624176,67.41935483870968,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300633.SZ,2026-07-20,医疗独立行情,-0.0004863128510846072,25.161290322580644,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300676.SZ,2026-07-20,医疗独立行情,0.0008426426929511129,82.58064516129032,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300677.SZ,2026-07-20,医疗独立行情,-0.001507435326673065,6.774193548387098,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300685.SZ,2026-07-20,医疗独立行情,0.0002299659507438578,56.12903225806451,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300702.SZ,2026-07-20,医疗独立行情,0.0007634713703349097,80.3225806451613,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300705.SZ,2026-07-20,医疗独立行情,0.00014182769850356328,51.935483870967744,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300723.SZ,2026-07-20,医疗独立行情,0.001682201120965084,97.41935483870968,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300725.SZ,2026-07-20,医疗独立行情,0.00081362993481131,81.29032258064515,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
300759.SZ,2026-07-20,医疗独立行情,-0.001296407331201835,9.35483870967742,5,中证申万医药生物指数,4. 交互项+残差动量+Beta变化
