horizon_sessions,test_year,model,factor,factor_label,coefficient
20,2024,增强回撤模型,risk_healthcare_beta_60d,60日医疗板块Beta,0.0020081893488128567
20,2024,增强回撤模型,risk_limit_up_extreme_up_60d,涨停与极端上涨风险,-0.001487406665579119
20,2024,增强回撤模型,risk_gap_extreme_down_60d,跳空与极端下跌风险,-0.000914405704305977
20,2024,增强回撤模型,risk_crowding_quarter_change,拥挤度季度变化,-0.0021240378672543825
20,2024,增强回撤模型,risk_intraday_atr_20d,20日日内振幅/ATR,0.00882891001906336
20,2025,收益模型,trend_5d,5日趋势,0.00019060065611213475
20,2025,收益模型,trend_20d,20日趋势,-0.0001898374633988491
20,2025,收益模型,trend_60_ex_20,60日剔除近20日趋势,-0.001383033697940439
20,2025,收益模型,trend_120_ex_20,120日剔除近20日趋势,0.002058127274137025
20,2025,收益模型,value_bp,账面市值比（BP）,0.00030770725214961163
20,2025,收益模型,value_ep,盈利收益率（EP）,-0.0005388218567724397
20,2025,收益模型,liquidity_turnover_20d,20日平均换手率,-0.0020783174485262007
20,2025,收益模型,crowding_max_return_20d,20日最大单日涨幅,-0.0018947988032555032
20,2025,基础回撤模型,risk_volatility_20d,20日波动率风险,0.00617605667531405
20,2025,基础回撤模型,risk_volatility_60d,60日波动率风险,0.009794284149672905
20,2025,基础回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0023039212236138575
20,2025,基础回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.00012631773866712617
20,2025,增强回撤模型,risk_volatility_20d,20日波动率风险,-0.0007615081028818589
20,2025,增强回撤模型,risk_volatility_60d,60日波动率风险,0.007656624676984255
20,2025,增强回撤模型,risk_drawdown_60d,距60日高点回撤风险,-0.0008656416318695013
20,2025,增强回撤模型,risk_max_return_20d,20日最大单日涨幅风险,0.0012916761068080028
20,2025,增强回撤模型,risk_downside_volatility_60d,60日下行波动率风险,-0.0008935710912464515
20,2025,增强回撤模型,risk_residual_volatility_60d,60日残差波动率风险,0.002619043502504491
20,2025,增强回撤模型,risk_liquidity_pressure_60d,60日流动性压力,-0.0006116345512362753
20,2025,增强回撤模型,risk_cvar_60d,60日尾部损失（CVaR）,-0.0013985387302874995
20,2025,增强回撤模型,risk_market_beta_60d,60日沪深300 Beta,-0.0009371090738875426
